layer,V_quadrant,V_stakes,V_axis,V_output
0,0.400015119422356,0.6621530741884538,0.06276958652606031,0.15143564991959785
1,0.4296454579910154,0.7227412845091332,0.13416803448371176,0.18920844492044483
2,0.3531762269880778,0.5828500794652888,0.0887650102976398,0.18754314738245273
3,0.3538500984130848,0.571406983107296,0.13924821622897895,0.20280360450730928
4,0.4453680491956513,0.7298611883401813,0.19388770627627275,0.20054318532302934
5,0.48288772562113813,0.8026907872898505,0.16875771587298363,0.15029432403914608
6,0.5016200267360258,0.8497432423171001,0.14280423730775707,0.18551158175048418
7,0.4771255216201723,0.7855625545631506,0.1877557318417314,0.18708848354678403
8,0.4455879049621759,0.7388644225570987,0.1608453049399084,0.17518562781426447
9,0.4633333333333333,0.7593104641399202,0.18544027404556768,0.1646175278677317
10,0.4841259501145723,0.8164032880926231,0.13817304454680773,0.17234054828377207
11,0.5129898005331184,0.8740099917472974,0.08645774289905661,0.17218265062930596
12,0.5121782553485934,0.846028951631316,0.18078161047196414,0.15105290750088918
13,0.5063676141986531,0.8672593657200423,0.09630566149542175,0.1757354874045021
14,0.5177703980813527,0.865561284367743,0.186370377202557,0.14728675101191083
15,0.5575248350140746,0.8632684941530061,0.3047135577261323,0.17174550072970107
16,0.5225950779408426,0.8536896951902181,0.2077514309877944,0.17942420784489324
17,0.5007971839622165,0.845201928752118,0.1294636310352516,0.1664716375498482
18,0.5080818572217886,0.8426361839457048,0.18145473046103475,0.16024966113091102
19,0.41349296363593774,0.6509821639475062,0.21053647909920833,0.16795948983519518
20,0.4413947815511105,0.7425739723743191,0.14965641499833376,0.16190344691033676
21,0.4024862968772562,0.6736211631049969,0.15333267906224599,0.16132156656684976
22,0.4074468299859666,0.6835648323032284,0.14704624799112806,0.18102267046248915
23,0.38212922197455523,0.6061864980511903,0.2095246268579473,0.14090867631042506
