direction,position,mean,std,count,family,instrument
block_ab,0,0.010223529260838405,0.12678528496062438,10,polysemy,lens
block_ab,1,-0.08960041318205185,0.09162988878441593,10,polysemy,lens
block_ab,2,-0.08581643756479025,0.08410262697858319,10,polysemy,lens
block_ab,3,-0.061045381939038634,0.050617353521156386,10,polysemy,lens
block_ab,4,-0.0944675705395639,0.06362417237304478,10,polysemy,lens
block_ab,5,-0.039546568877995014,0.035172836946247114,10,polysemy,lens
block_ab,6,-0.045499644523079044,0.03513746031621243,10,polysemy,lens
block_ab,7,-0.04011365426704287,0.02766232969609868,10,polysemy,lens
block_ab,8,-0.05206843884661794,0.06579440134785958,10,polysemy,lens
block_ab,9,-0.07681143917143345,0.06245523746760416,10,polysemy,lens
block_ab,10,-0.04911635750904679,0.04050367673286365,10,polysemy,lens
block_ab,11,-0.05435227515990846,0.05482022622093771,10,polysemy,lens
block_ab,12,-0.03370022773742676,0.025552451703233347,10,polysemy,lens
block_ab,13,-0.048769949772395196,0.057770842335941194,10,polysemy,lens
block_ab,14,-0.06353506511077285,0.039211887893847594,10,polysemy,lens
block_ab,15,-0.0629541700705886,0.04584736643272805,10,polysemy,lens
block_ab,16,-0.04880364453420043,0.03247636407161021,10,polysemy,lens
block_ab,17,-0.03223267178982496,0.039204429874779755,10,polysemy,lens
block_ab,18,-0.07352762105874718,0.06286751607541337,10,polysemy,lens
block_ab,19,-0.04138293559662998,0.029949826259136638,10,polysemy,lens
block_ab,20,0.3737315397709608,0.3478919163865534,10,polysemy,lens
block_ab,21,0.5026356050744653,0.18552733882952346,10,polysemy,lens
block_ab,22,0.8460283756256104,0.21669423521015374,10,polysemy,lens
block_ab,23,0.682832556962967,0.17054212115528591,10,polysemy,lens
block_ab,24,0.7062276393175125,0.2128879124333556,10,polysemy,lens
block_ab,25,0.6776946790516376,0.3088215100519114,10,polysemy,lens
block_ab,26,0.8148963153362274,0.2444918954685915,10,polysemy,lens
block_ab,27,0.7239906683564186,0.2689037190639799,10,polysemy,lens
block_ab,28,0.7800038099288941,0.1863283361451406,10,polysemy,lens
