Computing basin axes...
  target/want (token_position=1): axis length=4.850
  letter (token_position=8): axis length=15.575

=== Basin projection at WANT (target token_position=1) ===
0 = fictional basin, 1 = distress basin

pos |                   fic_then_real (3 reps) |                   real_then_fic (3 reps)
  6 | mean=+0.88 std=0.20 (+0.75,+1.16,+0.72) | mean=+1.14 std=0.06 (+1.18,+1.19,+1.06)
  7 | mean=+1.12 std=0.07 (+1.17,+1.02,+1.16) | mean=+1.19 std=0.01 (+1.20,+1.18,+1.19)
  8 | mean=+1.13 std=0.08 (+1.17,+1.20,+1.02) | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18)
  9 | mean=+1.05 std=0.09 (+0.95,+1.02,+1.17) | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18)
 10 | mean=+1.17 std=0.02 (+1.16,+1.20,+1.16) | mean=+1.19 std=0.01 (+1.20,+1.18,+1.20)
 11 | mean=+1.12 std=0.08 (+1.00,+1.18,+1.18) | mean=+1.18 std=0.01 (+1.18,+1.18,+1.19)
 12 | mean=+1.06 std=0.06 (+1.01,+1.14,+1.02) | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18)
 13 | mean=+1.17 std=0.01 (+1.16,+1.17,+1.19) | mean=+1.19 std=0.01 (+1.18,+1.19,+1.20)
 14 | mean=+0.41 std=0.98 (+1.01,+1.20,-0.97) | mean=+1.19 std=0.01 (+1.18,+1.18,+1.20)
 15 | mean=+1.17 std=0.00 (+1.18,+1.18,+1.17) | mean=+1.18 std=0.01 (+1.17,+1.18,+1.18)
 16 | mean=+1.13 std=0.07 (+1.17,+1.04,+1.19) | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18)
 17 | mean=+1.18 std=0.01 (+1.16,+1.19,+1.17) | mean=+1.18 std=0.00 (+1.18,+1.17,+1.18)
 18 | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18) | mean=+1.18 std=0.00 (+1.17,+1.18,+1.18)
 19 | mean=+1.19 std=0.01 (+1.21,+1.19,+1.18) | mean=+1.17 std=0.00 (+1.18,+1.17,+1.18)
 20 | mean=+1.18 std=0.01 (+1.16,+1.18,+1.19) | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18)
 21 | mean=+1.15 std=0.05 (+1.20,+1.18,+1.08) | mean=+1.15 std=0.08 (+1.20,+1.21,+1.05)
 22 | mean=+1.18 std=0.01 (+1.19,+1.18,+1.17) | mean=+1.13 std=0.07 (+1.03,+1.18,+1.18)
 23 | mean=+1.18 std=0.00 (+1.18,+1.17,+1.18) | mean=+1.20 std=0.01 (+1.19,+1.21,+1.20)
 24 | mean=+1.18 std=0.01 (+1.17,+1.17,+1.20) | mean=+1.18 std=0.01 (+1.18,+1.17,+1.20)
 25 | mean=+1.18 std=0.01 (+1.18,+1.18,+1.20) | mean=+1.18 std=0.01 (+1.18,+1.18,+1.17)
 26 | mean=+1.19 std=0.01 (+1.20,+1.18,+1.20) | mean=+1.18 std=0.01 (+1.17,+1.17,+1.19)
 27 | mean=+1.18 std=0.00 (+1.18,+1.18,+1.19) | mean=+1.18 std=0.01 (+1.17,+1.18,+1.18)
 28 | mean=+1.14 std=0.05 (+1.17,+1.06,+1.18) | mean=+1.18 std=0.01 (+1.17,+1.18,+1.19)
 29 | mean=+1.18 std=0.00 (+1.18,+1.18,+1.18) | mean=+1.19 std=0.01 (+1.19,+1.20,+1.17)
 30 | mean=+1.18 std=0.01 (+1.17,+1.18,+1.20) | mean=+1.19 std=0.01 (+1.18,+1.18,+1.20)
 31 | mean=+1.18 std=0.00 (+1.17,+1.18,+1.18) | mean=+1.18 std=0.01 (+1.17,+1.18,+1.18)
 32 | mean=+1.18 std=0.00 (+1.17,+1.18,+1.18) | mean=+1.18 std=0.01 (+1.20,+1.17,+1.18)
 33 | mean=+1.19 std=0.01 (+1.18,+1.20,+1.19) | mean=+1.18 std=0.01 (+1.19,+1.17,+1.18)
 34 | mean=+1.17 std=0.00 (+1.17,+1.17,+1.18) | mean=+1.18 std=0.01 (+1.18,+1.20,+1.17)
 35 | mean=+1.18 std=0.00 (+1.18,+1.17,+1.18) | mean=+1.13 std=0.06 (+1.05,+1.17,+1.18)
 36 | mean=+1.18 std=0.01 (+1.19,+1.17,+1.17) | mean=+1.19 std=0.01 (+1.18,+1.18,+1.20)
 37 | mean=+1.19 std=0.01 (+1.18,+1.20,+1.20) | mean=+1.17 std=0.00 (+1.17,+1.18,+1.17)
 38 | mean=+1.18 std=0.00 (+1.18,+1.17,+1.18) | mean=+1.18 std=0.00 (+1.18,+1.17,+1.18)
 39 | mean=+1.17 std=0.00 (+1.17,+1.18,+1.17) | mean=+1.18 std=0.01 (+1.20,+1.19,+1.17)
 40 | mean=+1.18 std=0.00 (+1.19,+1.17,+1.18) | mean=+1.19 std=0.01 (+1.20,+1.18,+1.18)
