set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
tank_d3_fam05_ba_beh_k06	session_09d3e176	1	1	1	ok	2048	2026-08-29	1	2277	66.6	1	1.0	1.0	20260907
tank_d3_fam05_ba_beh_k12	session_c6b09e36	1	1	1	ok	2048	2026-08-29	1	2661	94.1	1	1.0	1.0	20260907
tank_d3_fam05_ba_beh_k20	session_7a07db93	1	1	1	ok	2048	2026-08-29	1	3800	154.4	1	1.0	1.0	20260907
tank_d3_fam06_ab_beh_k02	session_27c0370a	1	1	1	ok	2048	2026-08-29	1	2086	54.0	1	1.0	1.0	20260907
tank_d3_fam06_ab_beh_k06	session_464ca809	1	1	1	ok	2048	2026-08-29	1	5504	121.8	1	1.0	1.0	20260907
tank_d3_fam06_ab_beh_k12	session_c43cbe06	1	1	1	ok	2048	2026-08-29	1	1708	66.3	1	1.0	1.0	20260907
tank_d3_fam06_ab_beh_k20	session_c8e786cd	1	1	1	ok	2048	2026-08-29	1	2155	120.0	1	1.0	1.0	20260907
tank_d3_fam06_ba_beh_k02	session_2402fbfd	1	1	1	ok	2048	2026-08-29	1	1400	40.7	1	1.0	1.0	20260907
tank_d3_fam06_ba_beh_k06	session_c4eaccca	1	1	1	ok	2048	2026-08-29	1	2354	64.7	1	1.0	1.0	20260907
tank_d3_fam06_ba_beh_k12	session_6cbfb0a4	1	1	1	ok	2048	2026-08-29	1	2747	86.7	1	1.0	1.0	20260907
tank_d3_fam06_ba_beh_k20	session_d8647748	1	1	1	ok	2048	2026-08-29	1	4033	171.4	1	1.0	1.0	20260907
tank_d3_fam07_ab_beh_k02	session_a3fdaf10	1	1	1	ok	2048	2026-08-29	1	2225	67.7	1	1.0	1.0	20260907
tank_d3_fam07_ab_beh_k06	session_d0d7d91e	1	1	1	ok	2048	2026-08-29	1	2173	66.0	1	1.0	1.0	20260907
tank_d3_fam07_ab_beh_k12	session_dd065f7a	1	1	1	ok	2048	2026-08-29	1	2392	91.2	1	1.0	1.0	20260907
tank_d3_fam07_ab_beh_k20	session_48a48e24	1	1	1	ok	2048	2026-08-29	1	2020	128.3	1	1.0	1.0	20260907
