set	session	positions	status
fr_s1_th_d3_fam11_fr_ck21	session_e88f75ab	33	ok
fr_s1_th_d3_fam11_fr_ck30	session_5569131a	202	ok
fr_s1_th_d3_fam11_fr_ck40	session_f503c28a	407	ok
fr_s1_th_d3_fam11_rf_ck20	session_f8d63f19	172	ok
fr_s1_th_d3_fam11_rf_ck21	session_eb5b8ea6	33	ok
fr_s1_th_d3_fam11_rf_ck30	session_ee4fb9ca	212	ok
fr_s1_th_d3_fam11_rf_ck40	session_0a096e81	431	ok
fr_s1_th_d4_fam00_f_ck20	session_293fc446	201	ok
fr_s1_th_d4_fam00_f_ck21	session_dbd38f90	31	ok
fr_s1_th_d4_fam00_f_ck30	session_9a9af2f0	223	ok
fr_s1_th_d4_fam00_f_ck40	session_1728beb1	445	ok
fr_s1_th_d4_fam00_r_ck20	session_4ed3dfc6	185	ok
fr_s1_th_d4_fam00_r_ck21	session_30ff894d	32	ok
fr_s1_th_d4_fam00_r_ck30	session_f2464e72	223	ok
fr_s1_th_d4_fam00_r_ck40	session_c148f797	431	ok
fr_s1_th_d4_fam02_f_ck20	session_4d3039ca	203	ok
fr_s1_th_d4_fam02_f_ck21	session_6f2223ac	29	ok
fr_s1_th_d4_fam02_f_ck30	session_a94803a4	238	ok
fr_s1_th_d4_fam02_f_ck40	session_95a66c83	473	ok
fr_s1_th_d4_fam02_r_ck20	session_31cb03e6	163	ok
fr_s1_th_d4_fam02_r_ck21	session_8dee53ba	29	ok
fr_s1_th_d4_fam02_r_ck30	session_28415754	232	ok
fr_s1_th_d4_fam02_r_ck40	session_60830a46	446	ok
fr_s1_th_d4_fam04_f_ck20	session_92ef41c9	207	ok
fr_s1_th_d4_fam04_f_ck21	session_3958f8ec	35	ok
fr_s1_th_d4_fam04_f_ck30	session_e030cd06	225	ok
fr_s1_th_d4_fam04_f_ck40	session_07293bda	457	ok
fr_s1_th_d4_fam04_r_ck20	session_f922753f	173	ok
fr_s1_th_d4_fam04_r_ck21	session_ab4e42ab	36	ok
fr_s1_th_d4_fam04_r_ck30	session_9bcb97bd	232	ok
fr_s1_th_d4_fam04_r_ck40	session_d8789e3e	446	ok
