set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
fr_s1_ar_d3_fam00_fr_beh_k02	session_5b784e6e	1	1	1	ok	2048	2026-08-29	1	9030	281.9	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_fr_beh_k06	session_f58567fd	1	1	1	ok	2048	2026-08-29	1	4212	172.1	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_fr_beh_k12	session_e6669410	1	1	1	ok	2048	2026-08-29	1	8652	374.9	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_fr_beh_k20	session_951a0a7b	1	1	1	ok	2048	2026-08-29	1	2939	182.8	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_rf_beh_k02	session_58d67e00	1	1	1	ok	2048	2026-08-29	1	1984	96.0	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_rf_beh_k06	session_01691a85	1	1	1	ok	2048	2026-08-29	1	2744	130.3	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_rf_beh_k12	session_8b2a3d27	1	1	1	ok	2048	2026-08-29	1	4686	221.1	1	1.0	1.0	20260907
fr_s1_ar_d3_fam00_rf_beh_k20	session_409e1e67	1	1	1	ok	2048	2026-08-29	1	8908	440.6	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_fr_beh_k02	session_65c1653d	1	1	1	ok	2048	2026-08-29	1	6410	213.6	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_fr_beh_k06	session_2dbc4a9d	1	1	1	ok	2048	2026-08-29	1	629	56.0	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_fr_beh_k12	session_8c83fa8f	1	1	1	ok	2048	2026-08-29	1	2160	113.1	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_fr_beh_k20	session_b599b8e0	1	1	1	ok	2048	2026-08-29	1	2521	153.4	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_rf_beh_k02	session_e69c4c82	1	1	1	ok	2048	2026-08-29	1	3119	126.0	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_rf_beh_k06	session_00a0feff	1	1	1	ok	2048	2026-08-29	1	1414	92.1	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_rf_beh_k12	session_b140510f	1	1	1	ok	2048	2026-08-29	1	3971	184.3	1	1.0	1.0	20260907
fr_s1_ar_d3_fam01_rf_beh_k20	session_285c373e	1	1	1	ok	2048	2026-08-29	1	6048	287.9	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_fr_beh_k02	session_6cde06a6	1	1	1	ok	2048	2026-08-29	1	8506	311.5	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_fr_beh_k06	session_b7bc8b47	1	1	1	ok	2048	2026-08-29	1	3149	125.6	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_fr_beh_k12	session_2485f51e	1	1	1	ok	2048	2026-08-29	1	2500	139.2	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_fr_beh_k20	session_83ee68e3	1	1	1	ok	2048	2026-08-29	1	4009	209.7	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_rf_beh_k02	session_08f9a5b1	1	1	1	ok	2048	2026-08-29	1	2833	128.1	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_rf_beh_k06	session_a7a03df2	1	1	1	ok	2048	2026-08-29	1	3543	120.0	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_rf_beh_k12	session_1b9545dc	1	1	1	ok	2048	2026-08-29	1	2729	124.5	1	1.0	1.0	20260907
fr_s1_ar_d3_fam02_rf_beh_k20	session_b54b2968	1	1	1	ok	2048	2026-08-29	1	717	81.7	1	1.0	1.0	20260907
fr_s1_ar_d3_fam03_fr_beh_k02	session_811ac6f0	1	1	1	ok	2048	2026-08-29	1	1356	81.4	1	1.0	1.0	20260907
fr_s1_ar_d3_fam03_fr_beh_k06	session_8a66564b	1	1	1	ok	2048	2026-08-29	1	2446	119.0	1	1.0	1.0	20260907
fr_s1_ar_d3_fam03_fr_beh_k12	session_ee8bdabb	1	1	1	ok	2048	2026-08-29	1	1221	88.2	1	1.0	1.0	20260907
fr_s1_ar_d3_fam03_fr_beh_k20	session_e11d4c81	1	1	1	ok	2048	2026-08-29	1	1564	114.7	1	1.0	1.0	20260907
fr_s1_ar_d3_fam03_rf_beh_k02	session_d222976d	1	1	1	ok	2048	2026-08-29	1	3547	132.0	1	1.0	1.0	20260907
fr_s1_ar_d3_fam03_rf_beh_k06	session_94327f2a	1	1	1	ok	2048	2026-08-29	1	1629	73.8	1	1.0	1.0	20260907
