set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
fr_s1_ar_d3_fam00_fr_beh_k02	session_04722852	1	1	1	ok	2048	2026-08-29	1	1372	58.1	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_fr_beh_k06	session_f11fed25	1	1	1	ok	2048	2026-08-29	1	4103	113.8	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_fr_beh_k12	session_90cdbb4f	1	1	1	ok	2048	2026-08-29	1	7171	279.3	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_fr_beh_k20	session_7c223b76	1	1	1	ok	2048	2026-08-29	1	2832	130.2	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_rf_beh_k02	session_16b53323	1	1	1	ok	2048	2026-08-29	1	6624	187.0	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_rf_beh_k06	session_b106a8e0	1	1	1	ok	2048	2026-08-29	1	1878	78.6	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_rf_beh_k12	session_62936b8d	1	1	1	ok	2048	2026-08-29	1	8892	277.2	1	1.0	1.0	20260909
fr_s1_ar_d3_fam00_rf_beh_k20	session_212f129e	1	1	1	ok	2048	2026-08-29	1	3989	179.1	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_fr_beh_k02	session_cfc6cce8	1	1	1	ok	2048	2026-08-29	1	5286	187.6	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_fr_beh_k06	session_e60d2cb0	1	1	1	ok	2048	2026-08-29	1	3088	128.0	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_fr_beh_k12	session_da571eac	1	1	1	ok	2048	2026-08-29	1	3380	147.5	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_fr_beh_k20	session_bb02c437	1	1	1	ok	2048	2026-08-29	1	4492	197.8	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_rf_beh_k02	session_048fd9cf	1	1	1	ok	2048	2026-08-29	1	2943	109.4	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_rf_beh_k06	session_8625275b	1	1	1	ok	2048	2026-08-29	1	2983	106.6	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_rf_beh_k12	session_d067fff0	1	1	1	ok	2048	2026-08-29	1	9240	296.1	1	1.0	1.0	20260909
fr_s1_ar_d3_fam01_rf_beh_k20	session_90b3633f	1	1	1	ok	2048	2026-08-29	1	3442	182.4	1	1.0	1.0	20260909
fr_s1_ar_d3_fam02_fr_beh_k02	session_27953454	1	1	1	ok	2048	2026-08-29	1	1236	75.0	1	1.0	1.0	20260909
fr_s1_ar_d3_fam02_fr_beh_k06	session_33d5fa5e	1	1	1	ok	2048	2026-08-29	1	8852	286.0	1	1.0	1.0	20260909
fr_s1_ar_d3_fam02_fr_beh_k12	session_95a6b257	1	1	1	ok	2048	2026-08-29	1	2513	120.4	1	1.0	1.0	20260909
