set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
fr_s1_ar_d3_fam05_rf_beh_k02	session_6bb5f810	1	1	1	ok	2048	2026-08-29	1	1783	89.8
fr_s1_ar_d3_fam05_rf_beh_k06	session_79ac02e8	1	1	1	ok	2048	2026-08-29	1	1009	73.7
fr_s1_ar_d3_fam05_rf_beh_k12	session_995dddbb	1	1	1	ok	2048	2026-08-29	1	632	73.5
fr_s1_ar_d3_fam05_rf_beh_k20	session_f46d6c0e	1	1	1	ok	2048	2026-08-29	1	500	113.5
fr_s1_ar_d3_fam06_fr_beh_k02	session_a1347151	1	1	1	ok	2048	2026-08-29	1	1701	84.0
fr_s1_ar_d3_fam06_fr_beh_k06	session_5c6f48f5	1	1	1	ok	2048	2026-08-29	0	9130	208.4
fr_s1_ar_d3_fam06_fr_beh_k12	session_cbe6e609	1	1	1	ok	2048	2026-08-29	0	8886	201.7
fr_s1_ar_d3_fam06_fr_beh_k20	session_2cb48dee	1	1	1	ok	2048	2026-08-29	1	9627	318.5
fr_s1_ar_d3_fam06_rf_beh_k02	session_3a391ccc	1	1	1	ok	2048	2026-08-29	1	1587	57.1
fr_s1_ar_d3_fam06_rf_beh_k06	session_ec2e8f0c	1	1	1	ok	2048	2026-08-29	1	1647	58.8
fr_s1_ar_d3_fam06_rf_beh_k12	session_a30f4152	1	1	1	ok	2048	2026-08-29	0	9943	259.1
fr_s1_ar_d3_fam06_rf_beh_k20	session_a88626bf	1	1	1	ok	2048	2026-08-29	0	9520	305.8
fr_s1_ar_d3_fam07_fr_beh_k02	session_9c37577b	1	1	1	ok	2048	2026-08-29	0	10217	242.5
fr_s1_ar_d3_fam07_fr_beh_k06	session_09cf9941	1	1	1	ok	2048	2026-08-29	0	9968	164.7
fr_s1_ar_d3_fam07_fr_beh_k12	session_2611420e	1	1	1	ok	2048	2026-08-29	0	9974	228.7
fr_s1_ar_d3_fam07_fr_beh_k20	session_266a7deb	1	1	1	ok	2048	2026-08-29	1	3391	124.1
fr_s1_ar_d3_fam07_rf_beh_k02	session_7aba3585	1	1	1	ok	2048	2026-08-29	1	2050	77.6
fr_s1_ar_d3_fam07_rf_beh_k06	session_b13b6933	1	1	1	ok	2048	2026-08-29	1	2123	66.9
fr_s1_ar_d3_fam07_rf_beh_k12	session_17a851e2	1	1	1	ok	2048	2026-08-29	1	1997	51.6
fr_s1_ar_d3_fam07_rf_beh_k20	session_c8d3bfd9	1	1	1	ok	2048	2026-08-29	0	9248	285.0
fr_s1_ar_d3_fam08_fr_beh_k02	session_2bf56a89	1	1	1	ok	2048	2026-08-29	1	688	49.5
fr_s1_ar_d3_fam08_fr_beh_k06	session_84d2180e	1	1	1	ok	2048	2026-08-29	1	1102	43.0
fr_s1_ar_d3_fam08_fr_beh_k12	session_03866f77	1	1	1	ok	2048	2026-08-29	1	624	45.2
fr_s1_ar_d3_fam08_fr_beh_k20	session_fc1faaef	1	1	1	ok	2048	2026-08-29	1	2013	105.6
fr_s1_ar_d3_fam08_rf_beh_k02	session_dea076c2	1	1	1	ok	2048	2026-08-29	0	9988	175.9
fr_s1_ar_d3_fam08_rf_beh_k06	session_a34bec41	1	1	1	ok	2048	2026-08-29	1	2664	41.1
fr_s1_ar_d3_fam08_rf_beh_k12	session_48968164	1	1	1	ok	2048	2026-08-29	1	2612	44.7
fr_s1_ar_d3_fam08_rf_beh_k20	session_063c2ffe	1	1	1	ok	2048	2026-08-29	1	1152	48.1
fr_s1_ar_d3_fam09_fr_beh_k02	session_a433ece8	1	1	1	ok	2048	2026-08-29	1	913	24.7
fr_s1_ar_d3_fam09_fr_beh_k06	session_d13ab1ab	1	1	1	ok	2048	2026-08-29	1	5798	75.1
fr_s1_ar_d3_fam09_fr_beh_k12	session_78b01a73	1	1	1	ok	2048	2026-08-29	0	9977	186.7
fr_s1_ar_d3_fam09_fr_beh_k20	session_2fb91df9	1	1	1	ok	2048	2026-08-29	1	1942	72.7
fr_s1_ar_d3_fam09_rf_beh_k02	session_ece3f06c	1	1	1	ok	2048	2026-08-29	0	9984	108.3
fr_s1_ar_d3_fam09_rf_beh_k06	session_6f11db87	1	1	1	ok	2048	2026-08-29	0	8963	108.1
fr_s1_ar_d3_fam09_rf_beh_k12	session_71155b28	1	1	1	ok	2048	2026-08-29	0	9706	113.2
fr_s1_ar_d3_fam09_rf_beh_k20	session_700c030d	1	1	1	ok	2048	2026-08-29	1	4741	116.3
