set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
tank_d3_fam06_ab_beh_k06	session_69553e5c	1	1	1	ok	2048	2026-08-29	1	3240	43.0
tank_d3_fam06_ab_beh_k12	session_31bf5b03	1	1	1	ok	2048	2026-08-29	1	2340	40.0
tank_d3_fam06_ab_beh_k20	session_23fad137	1	1	1	ok	2048	2026-08-29	1	6822	189.4
tank_d3_fam06_ba_beh_k02	session_052e7323	1	1	1	ok	2048	2026-08-29	1	3037	48.9
tank_d3_fam06_ba_beh_k06	session_aa29446b	1	1	1	ok	2048	2026-08-29	1	3407	48.9
tank_d3_fam06_ba_beh_k12	session_9a811b7b	1	1	1	ok	2048	2026-08-29	1	3468	54.6
tank_d3_fam06_ba_beh_k20	session_4b0852ec	1	1	1	ok	2048	2026-08-29	1	2220	87.1
tank_d3_fam07_ab_beh_k02	session_a0d20308	1	1	1	ok	2048	2026-08-29	1	1845	38.1
tank_d3_fam07_ab_beh_k06	session_250b1e5d	1	1	1	ok	2048	2026-08-29	1	1653	33.1
tank_d3_fam07_ab_beh_k12	session_e22bf061	1	1	1	ok	2048	2026-08-29	1	2109	58.3
tank_d3_fam07_ab_beh_k20	session_c6ba725b	1	1	1	ok	2048	2026-08-29	1	3450	136.9
tank_d3_fam07_ba_beh_k02	session_7cef5ac8	1	1	1	ok	2048	2026-08-29	0	8777	114.2
tank_d3_fam07_ba_beh_k06	session_3818b0fe	1	1	1	ok	2048	2026-08-29	0	9224	109.6
tank_d3_fam07_ba_beh_k12	session_369f0a89	1	1	1	ok	2048	2026-08-29	0	9145	124.1
tank_d3_fam07_ba_beh_k20	session_251dd478	1	1	1	ok	2048	2026-08-29	1	3451	132.5
tank_d3_fam08_ab_beh_k02	session_850aaf44	1	1	1	ok	2048	2026-08-29	1	4842	62.9
tank_d3_fam08_ab_beh_k06	session_ae7b01be	1	1	1	ok	2048	2026-08-29	1	2182	36.9
tank_d3_fam08_ab_beh_k12	session_a7a40c87	1	1	1	ok	2048	2026-08-29	1	2521	56.1
tank_d3_fam08_ab_beh_k20	session_303fc493	1	1	1	ok	2048	2026-08-29	1	1850	68.6
tank_d3_fam08_ba_beh_k02	session_d413fde4	1	1	1	ok	2048	2026-08-29	1	3450	53.7
tank_d3_fam08_ba_beh_k06	session_3d705152	1	1	1	ok	2048	2026-08-29	1	1043	26.0
tank_d3_fam08_ba_beh_k12	session_76685e4f	1	1	1	ok	2048	2026-08-29	1	1678	31.5
tank_d3_fam08_ba_beh_k20	session_f7b36255	1	1	1	ok	2048	2026-08-29	1	3982	93.2
tank_d3_fam09_ab_beh_k02	session_d8ed42ae	1	1	1	ok	2048	2026-08-29	1	2618	47.7
tank_d3_fam09_ab_beh_k06	session_467f5f0f	1	1	1	ok	2048	2026-08-29	1	1751	31.7
tank_d3_fam09_ab_beh_k12	session_d229edad	1	1	1	ok	2048	2026-08-29	1	3390	59.4
tank_d3_fam09_ab_beh_k20	session_82513d03	1	1	1	ok	2048	2026-08-29	1	5531	115.9
tank_d3_fam09_ba_beh_k02	session_92d26e27	1	1	1	ok	2048	2026-08-29	1	2547	42.6
tank_d3_fam09_ba_beh_k06	session_4000e671	1	1	1	ok	2048	2026-08-29	1	2653	44.9
tank_d3_fam09_ba_beh_k12	session_ccdea204	1	1	1	ok	2048	2026-08-29	1	2977	43.6
tank_d3_fam09_ba_beh_k20	session_56b0afbd	1	1	1	ok	2048	2026-08-29	0	9334	156.5
tank_d3_fam10_ab_beh_k02	session_a6d70895	1	1	1	ok	2048	2026-08-29	1	6253	79.4
tank_d3_fam10_ab_beh_k06	session_5a128ec6	1	1	1	ok	2048	2026-08-29	1	7449	94.9
tank_d3_fam10_ab_beh_k12	session_03314f6d	1	1	1	ok	2048	2026-08-29	1	2072	46.9
tank_d3_fam10_ab_beh_k20	session_3ea9b77a	1	1	1	ok	2048	2026-08-29	1	1941	71.3
tank_d3_fam10_ba_beh_k02	session_a2f0c200	1	1	1	ok	2048	2026-08-29	1	1582	31.0
tank_d3_fam10_ba_beh_k06	session_e86c9961	1	1	1	ok	2048	2026-08-29	1	2911	53.2
tank_d3_fam10_ba_beh_k12	session_aad911cd	1	1	1	ok	2048	2026-08-29	1	5197	76.0
tank_d3_fam10_ba_beh_k20	session_669e1404	1	1	1	ok	2048	2026-08-29	1	3214	100.8
tank_d3_fam11_ab_beh_k02	session_252a98eb	1	1	1	ok	2048	2026-08-29	1	4930	70.7
tank_d3_fam11_ab_beh_k06	session_fc0cbdc9	1	1	1	ok	2048	2026-08-29	1	6890	85.9
tank_d3_fam11_ab_beh_k12	session_0af17521	1	1	1	ok	2048	2026-08-29	0	9385	119.8
tank_d3_fam11_ab_beh_k20	session_927e9de0	1	1	1	ok	2048	2026-08-29	1	3926	78.4
tank_d3_fam11_ba_beh_k02	session_98465882	1	1	1	ok	2048	2026-08-29	1	1567	34.2
tank_d3_fam11_ba_beh_k06	session_8775583e	1	1	1	ok	2048	2026-08-29	1	2329	36.4
tank_d3_fam11_ba_beh_k12	session_241fc44b	1	1	1	ok	2048	2026-08-29	1	1751	36.9
tank_d3_fam11_ba_beh_k20	session_189077fd	1	1	1	ok	2048	2026-08-29	1	3977	88.3
tank_d4_fam00_a_beh_final	session_07bf54ec	1	1	1	ok	2048	2026-08-29	1	2262	62.8
tank_d4_fam00_b_beh_final	session_406679db	1	1	1	ok	2048	2026-08-29	1	3292	92.8
tank_d4_fam02_a_beh_final	session_e215e438	1	1	1	ok	2048	2026-08-29	1	2470	75.9
tank_d4_fam02_b_beh_final	session_6a0bb36f	1	1	1	ok	2048	2026-08-29	1	1395	56.4
tank_d4_fam04_a_beh_final	session_2c636af6	1	1	1	ok	2048	2026-08-29	1	1634	83.4
tank_d4_fam04_b_beh_final	session_6e5d053b	1	1	1	ok	2048	2026-08-29	0	9034	249.4
tank_d4_fam06_a_beh_final	session_87731020	1	1	1	ok	2048	2026-08-29	1	3114	106.6
tank_d4_fam06_b_beh_final	session_77fbd336	1	1	1	ok	2048	2026-08-29	1	1152	49.3
tank_d4_fam08_a_beh_final	session_f0ab4a4e	1	1	1	ok	2048	2026-08-29	1	3581	102.6
tank_d4_fam08_b_beh_final	session_c37d834a	1	1	1	ok	2048	2026-08-29	1	1562	84.3
tank_d4_fam10_a_beh_final	session_bf1d9fc2	1	1	1	ok	2048	2026-08-29	1	2515	69.5
tank_d4_fam10_b_beh_final	session_f93170b2	1	1	1	ok	2048	2026-08-29	1	3631	96.3
