set	session	probes	status
fr_d6_fam04_k16_A_recent	session_ae645a88	1	ok
fr_d6_fam04_k18_B_recent	session_8dbe1fb4	1	ok
fr_d6_fam04_k18_A_recent	session_fc8cc863	1	ok
fr_d6_fam04_k20_pure_B	session_b631715c	1	ok
fr_d6_fam04_k10_interleaved	session_843fc588	1	ok
fr_d6_fam05_k00_pure_A	session_a4245e86	1	ok
fr_d6_fam05_k02_B_recent	session_37c3b0e4	1	ok
fr_d6_fam05_k02_A_recent	session_954141c7	1	ok
fr_d6_fam05_k04_B_recent	session_db63e1a0	1	ok
fr_d6_fam05_k04_A_recent	session_07994777	1	ok
fr_d6_fam05_k06_B_recent	session_894a27e3	1	ok
fr_d6_fam05_k06_A_recent	session_0a07eb72	1	ok
fr_d6_fam05_k08_B_recent	session_143c981b	1	ok
fr_d6_fam05_k08_A_recent	session_d24fa1bb	1	ok
fr_d6_fam05_k10_B_recent	session_97ea9f2e	1	ok
fr_d6_fam05_k10_A_recent	session_8664de5b	1	ok
fr_d6_fam05_k12_B_recent	session_c6b91ec6	1	ok
fr_d6_fam05_k12_A_recent	session_d2cd137a	1	ok
fr_d6_fam05_k14_B_recent	session_290ca210	1	ok
fr_d6_fam05_k14_A_recent	session_63443fd1	1	ok
fr_d6_fam05_k16_B_recent	session_c7997daf	1	ok
fr_d6_fam05_k16_A_recent	session_21424bf1	1	ok
fr_d6_fam05_k18_B_recent	session_9f8b3c63	1	ok
fr_d6_fam05_k18_A_recent	session_d538bf27	1	ok
fr_d6_fam05_k20_pure_B	session_e9126b8a	1	ok
fr_d6_fam05_k10_interleaved	session_19eb2e8c	1	ok
fr_d6_fam06_k00_pure_A	session_887e8c26	1	ok
fr_d6_fam06_k02_B_recent	session_5e5eddab	1	ok
fr_d6_fam06_k02_A_recent	session_597c8e73	1	ok
fr_d6_fam06_k04_B_recent	session_b7a32031	1	ok
fr_d6_fam06_k04_A_recent	session_81713930	1	ok
fr_d6_fam06_k06_B_recent	session_dbb02b70	1	ok
fr_d6_fam06_k06_A_recent	session_85e1e213	1	ok
fr_d6_fam06_k08_B_recent	session_83030fa4	1	ok
fr_d6_fam06_k08_A_recent	session_e9102859	1	ok
fr_d6_fam06_k10_B_recent	session_856b2944	1	ok
fr_d6_fam06_k10_A_recent	session_34cf10b6	1	ok
fr_d6_fam06_k12_B_recent	session_9d29174f	1	ok
fr_d6_fam06_k12_A_recent	session_b1b0a074	1	ok
fr_d6_fam06_k14_B_recent	session_a1bf37f6	1	ok
fr_d6_fam06_k14_A_recent	session_d6e3df5a	1	ok
fr_d6_fam06_k16_B_recent	session_a5dc1de0	1	ok
fr_d6_fam06_k16_A_recent	session_4280222f	1	ok
fr_d6_fam06_k18_B_recent	session_adb68b7f	1	ok
fr_d6_fam06_k18_A_recent	session_1f24a9b0	1	ok
fr_d6_fam06_k20_pure_B	session_3c11b1bc	1	ok
fr_d6_fam06_k10_interleaved	session_76015a58	1	ok
fr_d6_fam07_k00_pure_A	session_c73edfbc	1	ok
fr_d6_fam07_k02_B_recent	session_fdd153a3	1	ok
fr_d6_fam07_k02_A_recent	session_2a201d4b	1	ok
fr_d6_fam07_k04_B_recent	session_0bb8aa71	1	ok
fr_d6_fam07_k04_A_recent	session_d870fa2e	1	ok
fr_d6_fam07_k06_B_recent	session_538cab66	1	ok
fr_d6_fam07_k06_A_recent	session_c8112aa6	1	ok
fr_d6_fam07_k08_B_recent	session_3429d98a	1	ok
fr_d6_fam07_k08_A_recent	session_b0f64c92	1	ok
fr_d6_fam07_k10_B_recent	session_f9b37797	1	ok
fr_d6_fam07_k10_A_recent	session_5b5462f5	1	ok
fr_d6_fam07_k12_B_recent	session_7fcf46ab	1	ok
fr_d6_fam07_k12_A_recent	session_a62db1c3	1	ok
fr_d6_fam07_k14_B_recent	session_bb1eeada	1	ok
fr_d6_fam07_k14_A_recent	session_be3cab42	1	ok
fr_d6_fam07_k16_B_recent	session_08c8653f	1	ok
fr_d6_fam07_k16_A_recent	session_31e5adeb	1	ok
fr_d6_fam07_k18_B_recent	session_64a74ca3	1	ok
fr_d6_fam07_k18_A_recent	session_64d042a2	1	ok
fr_d6_fam07_k20_pure_B	session_acc94765	1	ok
fr_d6_fam07_k10_interleaved	session_3cbdce6b	1	ok
fr_d6_fam08_k00_pure_A	session_b85ff542	1	ok
fr_d6_fam08_k02_B_recent	session_f9f34dfb	1	ok
fr_d6_fam08_k02_A_recent	session_0c4369a4	1	ok
fr_d6_fam08_k04_B_recent	session_b4140543	1	ok
fr_d6_fam08_k04_A_recent	session_057a900a	1	ok
fr_d6_fam08_k06_B_recent	session_579d39c6	1	ok
fr_d6_fam08_k06_A_recent	session_af487f40	1	ok
fr_d6_fam08_k08_B_recent	session_88d01684	1	ok
fr_d6_fam08_k08_A_recent	session_710a65e0	1	ok
fr_d6_fam08_k10_B_recent	session_331db6e2	1	ok
fr_d6_fam08_k10_A_recent	session_d969c250	1	ok
fr_d6_fam08_k12_B_recent	session_58567e36	1	ok
fr_d6_fam08_k12_A_recent	session_b330dc97	1	ok
fr_d6_fam08_k14_B_recent	session_4aeb3393	1	ok
fr_d6_fam08_k14_A_recent	session_08887fbc	1	ok
fr_d6_fam08_k16_B_recent	session_48cfe40a	1	ok
fr_d6_fam08_k16_A_recent	session_c79efd8d	1	ok
fr_d6_fam08_k18_B_recent	session_bde7c447	1	ok
fr_d6_fam08_k18_A_recent	session_cc5ed687	1	ok
fr_d6_fam08_k20_pure_B	session_2a40625b	1	ok
fr_d6_fam08_k10_interleaved	session_4b7dc9a4	1	ok
fr_d6_fam09_k00_pure_A	session_01e05723	1	ok
fr_d6_fam09_k02_B_recent	session_4114d160	1	ok
fr_d6_fam09_k02_A_recent	session_78766f7f	1	ok
fr_d6_fam09_k04_B_recent	session_21efec5c	1	ok
fr_d6_fam09_k04_A_recent	session_72d8c795	1	ok
fr_d6_fam09_k06_B_recent	session_2910028f	1	ok
fr_d6_fam09_k06_A_recent	session_8bd6d79e	1	ok
fr_d6_fam09_k08_B_recent	session_3341fde1	1	ok
fr_d6_fam09_k08_A_recent	session_c541274e	1	ok
fr_d6_fam09_k10_B_recent	session_f4c820a8	1	ok
fr_d6_fam09_k10_A_recent	session_6c4d24f7	1	ok
fr_d6_fam09_k12_B_recent	session_a7308dcf	1	ok
fr_d6_fam09_k12_A_recent	session_29292d65	1	ok
fr_d6_fam09_k14_B_recent	session_1e8d4d5c	1	ok
fr_d6_fam09_k14_A_recent	session_2cdf3e0e	1	ok
fr_d6_fam09_k16_B_recent	session_cacb5258	1	ok
fr_d6_fam09_k16_A_recent	session_72cce05a	1	ok
fr_d6_fam09_k18_B_recent	session_e0559705	1	ok
fr_d6_fam09_k18_A_recent	session_3e6f7e3d	1	ok
fr_d6_fam09_k20_pure_B	session_d2e2961b	1	ok
fr_d6_fam09_k10_interleaved	session_c0c39479	1	ok
fr_d6_fam10_k00_pure_A	session_7fd4d65a	1	ok
fr_d6_fam10_k02_B_recent	session_3fd3119d	1	ok
fr_d6_fam10_k02_A_recent	session_8d902eec	1	ok
fr_d6_fam10_k04_B_recent	session_ea038b5c	1	ok
fr_d6_fam10_k04_A_recent	session_a62c2a3c	1	ok
fr_d6_fam10_k06_B_recent	session_050ec7de	1	ok
fr_d6_fam10_k06_A_recent	session_8817b79d	1	ok
fr_d6_fam10_k08_B_recent	session_bd2f44ac	1	ok
fr_d6_fam10_k08_A_recent	session_d8330db5	1	ok
fr_d6_fam10_k10_B_recent	session_d133cc18	1	ok
fr_d6_fam10_k10_A_recent	session_875fb3a5	1	ok
fr_d6_fam10_k12_B_recent	session_01478fa4	1	ok
